ACCIDENT_NO,ABS_CODE,Date,ACCIDENT_TIME,ACCIDENT_TYPE,DAY_OF_WEEK,LONGITUDE,LATITUDE,LGA_NAME,FATALITY,DEG_URBAN_ALL,REGION_NAME_ALL,RMA,STAT_DIV_NAME,Rainfall amount (millimetres),Maximum temperature (Degree C)
T20140017510,Driving accident,2014/08/24,08:45:00,Collision with vehicle,Sunday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.6,15.5
T20140017554,Driving accident,2014/08/24,22:06:00,Collision with vehicle,Sunday,144.96632645,-37.82633192,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Freeway,Metro,0.6,15.5
T20140017571,Driving accident,2014/08/25,09:00:00,Collision with vehicle,Sunday,-1.0,-1.0,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.8,16.6
T20140017570,Driving accident,2014/08/25,10:00:00,Collision with vehicle,Monday,144.95712036,-37.81817082,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.8,16.6
T20140017591,Driving accident,2014/08/25,12:10:00,Collision with a fixed object,Sunday,144.95783664,-37.79728047,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.8,16.6
T20140017324,Driving accident,2014/08/21,13:42:00,Struck Pedestrian,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,17.8
T20140017573,Driving accident,2014/08/21,08:00:00,Collision with vehicle,Thursday,-1.0,-1.0,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,17.8
T20140017021,Driving accident,2014/08/10,13:10:00,Collision with vehicle,Sunday,-1.0,-1.0,MELBOURNE,0.0,MELBOURNE_CBD,METROPOLITAN NORTH WEST REGION,Local Road,Metro,1.4,12.2
T20140016552,Driving accident,2014/08/10,21:20:00,Struck Pedestrian,Sunday,144.95417603,-37.79918166,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,1.4,12.2
T20140017732,Driving accident,2014/08/27,10:55:00,Struck Pedestrian,Wednesday,144.96375092,-37.80195039,MELBOURNE,0.0,MELB_URBAN,METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,17.4
T20140017780,Driving accident,2014/08/27,08:30:00,Collision with vehicle,Wednesday,-1.0,-1.0,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Arterial Other,Metro,0.0,17.4
T20140017771,Driving accident,2014/08/27,15:35:00,Collision with vehicle,Wednesday,-1.0,-1.0,MELBOURNE,0.0,"MELB_URBAN,MELBOURNE_CBD",METROPOLITAN NORTH WEST REGION,Local Road,Metro,0.0,17.4
